date,cluster,host,disk,prediction,source_algorithm,date_dt,last_15_score,decision_status,score_threshold,lookback_days,algorithm,score,last_7_score
2021-11-26,cluster_C,host_1,disk1,1.0,csr,2021-11-26,1.0,T,0.8,15,csr,,
2021-11-26,cluster_C,host_1,disk11,1.0,csr,2021-11-26,1.0,T,0.8,15,csr,,
2021-11-26,cluster_C,host_1,disk8,1.0,csr,2021-11-26,1.0,T,0.8,15,csr,,
2021-11-26,cluster_C,host_10,disk7,1.0,csr,2021-11-26,1.0,T,0.8,15,csr,,
2021-11-26,cluster_C,host_11,disk8,1.0,csr,2021-11-26,1.0,T,0.8,15,csr,,
2021-11-26,cluster_C,host_11,disk7,1.0,csr,2021-11-26,1.0,T,0.8,15,csr,,
2021-12-01,cluster_C,host_11,disk11,1.0,csr,2021-12-01,1.0,T,0.8,15,csr,,
2021-12-04,cluster_C,host_12,disk2,1.0,csr,2021-12-04,1.0,T,0.8,15,csr,,
2021-11-29,cluster_C,host_13,disk3,1.0,csr,2021-11-29,1.0,T,0.8,15,csr,,
2021-11-26,cluster_C,host_14,disk5,1.0,csr,2021-11-26,1.0,T,0.8,15,csr,,
2021-11-26,cluster_C,host_14,disk1,1.0,csr,2021-11-26,1.0,T,0.8,15,csr,,
2021-12-02,cluster_C,host_15,disk6,1.0,csr,2021-12-02,1.0,T,0.8,15,csr,,
2021-11-26,cluster_C,host_18,disk2,1.0,csr,2021-11-26,1.0,T,0.8,15,csr,,
2021-11-26,cluster_C,host_18,disk9,1.0,csr,2021-11-26,1.0,T,0.8,15,csr,,
2021-11-26,cluster_C,host_19,disk2,1.0,csr,2021-11-26,2.0,T,0.8,15,csr,,
2021-11-26,cluster_C,host_19,disk8,1.0,csr,2021-11-26,1.0,T,0.8,15,csr,,
2021-11-26,cluster_C,host_19,disk10,1.0,csr,2021-11-26,1.0,T,0.8,15,csr,,
2021-11-27,cluster_C,host_19,disk2,1.0,csr,2021-11-27,2.0,T,0.8,15,csr,,
2021-11-21,cluster_C,host_2,disk5,1.0,csr,2021-11-21,1.0,T,0.8,15,csr,,
2021-11-28,cluster_C,host_2,disk1,1.0,csr,2021-11-28,2.0,T,0.8,15,csr,,
2021-11-30,cluster_C,host_2,disk1,1.0,csr,2021-11-30,2.0,T,0.8,15,csr,,
2021-12-03,cluster_C,host_20,disk8,1.0,csr,2021-12-03,1.0,T,0.8,15,csr,,
2021-11-26,cluster_C,host_21,disk2,1.0,csr,2021-11-26,1.0,T,0.8,15,csr,,
2021-11-26,cluster_C,host_21,disk1,1.0,csr,2021-11-26,1.0,T,0.8,15,csr,,
2021-11-26,cluster_C,host_21,disk12,1.0,csr,2021-11-26,1.0,T,0.8,15,csr,,
2021-11-26,cluster_C,host_22,disk8,1.0,csr,2021-11-26,1.0,T,0.8,15,csr,,
2021-11-26,cluster_C,host_22,disk6,1.0,csr,2021-11-26,1.0,T,0.8,15,csr,,
2021-11-26,cluster_C,host_22,disk1,1.0,csr,2021-11-26,1.0,T,0.8,15,csr,,
2021-11-21,cluster_C,host_23,disk2,1.0,csr,2021-11-21,1.0,T,0.8,15,csr,,
2021-11-26,cluster_C,host_24,disk2,1.0,csr,2021-11-26,1.0,T,0.8,15,csr,,
2021-11-26,cluster_C,host_25,disk4,1.0,csr,2021-11-26,1.0,T,0.8,15,csr,,
2021-11-28,cluster_C,host_25,disk9,1.0,csr,2021-11-28,1.0,T,0.8,15,csr,,
2021-12-01,cluster_C,host_25,disk10,1.0,csr,2021-12-01,1.0,T,0.8,15,csr,,
2021-12-01,cluster_C,host_25,disk6,1.0,csr,2021-12-01,2.0,T,0.8,15,csr,,
2021-12-04,cluster_C,host_25,disk6,1.0,csr,2021-12-04,2.0,T,0.8,15,csr,,
2021-12-04,cluster_C,host_25,disk1,1.0,csr,2021-12-04,1.0,T,0.8,15,csr,,
2021-11-26,cluster_C,host_26,disk5,1.0,csr,2021-11-26,1.0,T,0.8,15,csr,,
2021-11-26,cluster_C,host_26,disk3,1.0,csr,2021-11-26,1.0,T,0.8,15,csr,,
2021-11-26,cluster_C,host_26,disk1,1.0,csr,2021-11-26,2.0,T,0.8,15,csr,,
2021-12-04,cluster_C,host_26,disk1,1.0,csr,2021-12-04,2.0,T,0.8,15,csr,,
2021-11-21,cluster_C,host_27,disk10,1.0,csr,2021-11-21,1.0,T,0.8,15,csr,,
2021-11-26,cluster_C,host_27,disk3,1.0,csr,2021-11-26,1.0,T,0.8,15,csr,,
2021-11-28,cluster_C,host_27,disk2,1.0,csr,2021-11-28,1.0,T,0.8,15,csr,,
2021-11-28,cluster_C,host_27,disk1,1.0,csr,2021-11-28,2.0,T,0.8,15,csr,,
2021-12-01,cluster_C,host_27,disk1,1.0,csr,2021-12-01,2.0,T,0.8,15,csr,,
2021-12-02,cluster_C,host_27,disk5,1.0,csr,2021-12-02,1.0,T,0.8,15,csr,,
2021-12-02,cluster_C,host_27,disk12,1.0,csr,2021-12-02,1.0,T,0.8,15,csr,,
2021-11-26,cluster_C,host_28,disk10,1.0,csr,2021-11-26,1.0,T,0.8,15,csr,,
2021-11-28,cluster_C,host_28,disk2,1.0,csr,2021-11-28,1.0,T,0.8,15,csr,,
2021-11-26,cluster_C,host_29,disk4,1.0,csr,2021-11-26,1.0,T,0.8,15,csr,,
2021-11-26,cluster_C,host_29,disk2,1.0,csr,2021-11-26,1.0,T,0.8,15,csr,,
