date,cluster,host,disk,score,avg,duration,dt,last_15_score,decision_status,score_threshold
2021-11-21,cluster_C,host_1,disk1,1.0,1.0257957793343249,6,2021-11-21,2.0,F,50.0
2021-11-21,cluster_C,host_1,disk9,,1.0146687810383344,1,2021-11-21,,F,50.0
2021-11-21,cluster_C,host_1,disk8,,,0,2021-11-21,,F,50.0
2021-11-21,cluster_C,host_1,disk7,,1.0296083170274803,1,2021-11-21,3.0,F,50.0
2021-11-21,cluster_C,host_1,disk5,1.0,1.0378199578233878,7,2021-11-21,6.0,F,50.0
2021-11-21,cluster_C,host_1,disk4,,1.063785691601299,1,2021-11-21,3.0,F,50.0
2021-11-21,cluster_C,host_1,disk6,1.0,1.028050337253379,7,2021-11-21,2.0,F,50.0
2021-11-21,cluster_C,host_1,disk2,,1.0210919924409139,1,2021-11-21,2.0,F,50.0
2021-11-21,cluster_C,host_1,disk12,,1.003658693171392,2,2021-11-21,1.0,F,50.0
2021-11-21,cluster_C,host_1,disk11,,1.003980141265012,1,2021-11-21,2.0,F,50.0
2021-11-21,cluster_C,host_1,disk10,,1.0333048811712688,4,2021-11-21,1.0,F,50.0
2021-11-21,cluster_C,host_1,disk3,,1.045189226008932,1,2021-11-21,,F,50.0
2021-11-22,cluster_C,host_1,disk1,,1.079142341193947,5,2021-11-22,2.0,F,50.0
2021-11-22,cluster_C,host_1,disk9,,,0,2021-11-22,,F,50.0
2021-11-22,cluster_C,host_1,disk8,,1.0532314628869028,2,2021-11-22,,F,50.0
2021-11-22,cluster_C,host_1,disk7,1.0,1.0524998091314675,6,2021-11-22,3.0,F,50.0
2021-11-22,cluster_C,host_1,disk5,1.0,1.0635538788062757,6,2021-11-22,6.0,F,50.0
2021-11-22,cluster_C,host_1,disk4,,1.0817541518208005,2,2021-11-22,3.0,F,50.0
2021-11-22,cluster_C,host_1,disk6,,,0,2021-11-22,2.0,F,50.0
2021-11-22,cluster_C,host_1,disk2,1.0,1.0674551437843955,7,2021-11-22,2.0,F,50.0
2021-11-22,cluster_C,host_1,disk12,,,0,2021-11-22,1.0,F,50.0
2021-11-22,cluster_C,host_1,disk11,,1.0201322339534404,2,2021-11-22,2.0,F,50.0
2021-11-22,cluster_C,host_1,disk10,,1.0516913874420404,3,2021-11-22,1.0,F,50.0
2021-11-22,cluster_C,host_1,disk3,,1.0074133021312164,2,2021-11-22,,F,50.0
2021-11-23,cluster_C,host_1,disk1,1.0,1.09320502525821,9,2021-11-23,2.0,F,50.0
2021-11-23,cluster_C,host_1,disk9,,1.0829816537322883,3,2021-11-23,,F,50.0
2021-11-23,cluster_C,host_1,disk8,,,0,2021-11-23,,F,50.0
2021-11-23,cluster_C,host_1,disk7,,,0,2021-11-23,3.0,F,50.0
2021-11-23,cluster_C,host_1,disk5,,1.0913333749791843,1,2021-11-23,6.0,F,50.0
