prefix,day,algorithm,rg_id,serialno,status
cluster_A_host_1,2022-07-18,iaso,cluster_A/host_1,disk10,T
cluster_A_host_1,2022-07-18,iaso,cluster_A/host_1,disk3,T
cluster_A_host_1,2022-07-18,threshold,cluster_A/host_1,disk1,T
cluster_A_host_1,2022-07-18,threshold,cluster_A/host_1,disk10,T
cluster_A_host_1,2022-07-18,threshold,cluster_A/host_1,disk11,T
cluster_A_host_1,2022-07-18,threshold,cluster_A/host_1,disk12,T
cluster_A_host_1,2022-07-18,threshold,cluster_A/host_1,disk2,T
cluster_A_host_1,2022-07-18,threshold,cluster_A/host_1,disk3,T
cluster_A_host_1,2022-07-18,threshold,cluster_A/host_1,disk4,T
cluster_A_host_1,2022-07-18,threshold,cluster_A/host_1,disk5,T
cluster_A_host_1,2022-07-18,threshold,cluster_A/host_1,disk6,T
cluster_A_host_1,2022-07-18,threshold,cluster_A/host_1,disk7,T
cluster_A_host_1,2022-07-18,threshold,cluster_A/host_1,disk8,T
cluster_A_host_1,2022-07-18,threshold,cluster_A/host_1,disk9,T
cluster_A_host_1,2022-07-20,csr,cluster_A/host_1,disk1,T
cluster_A_host_1,2022-07-20,iaso,cluster_A/host_1,disk3,T
cluster_A_host_1,2022-07-20,iaso,cluster_A/host_1,disk8,T
cluster_A_host_1,2022-07-20,threshold,cluster_A/host_1,disk1,T
cluster_A_host_1,2022-07-20,threshold,cluster_A/host_1,disk10,T
cluster_A_host_1,2022-07-20,threshold,cluster_A/host_1,disk11,T
cluster_A_host_1,2022-07-20,threshold,cluster_A/host_1,disk12,T
cluster_A_host_1,2022-07-20,threshold,cluster_A/host_1,disk2,T
cluster_A_host_1,2022-07-20,threshold,cluster_A/host_1,disk3,T
cluster_A_host_1,2022-07-20,threshold,cluster_A/host_1,disk4,T
cluster_A_host_1,2022-07-20,threshold,cluster_A/host_1,disk5,T
cluster_A_host_1,2022-07-20,threshold,cluster_A/host_1,disk6,T
cluster_A_host_1,2022-07-20,threshold,cluster_A/host_1,disk7,T
cluster_A_host_1,2022-07-20,threshold,cluster_A/host_1,disk8,T
cluster_A_host_1,2022-07-20,threshold,cluster_A/host_1,disk9,T
cluster_A_host_1,2022-07-21,iaso,cluster_A/host_1,disk1,T
cluster_A_host_1,2022-07-21,iaso,cluster_A/host_1,disk10,T
cluster_A_host_1,2022-07-21,threshold,cluster_A/host_1,disk1,T
cluster_A_host_1,2022-07-21,threshold,cluster_A/host_1,disk10,T
cluster_A_host_1,2022-07-21,threshold,cluster_A/host_1,disk11,T
cluster_A_host_1,2022-07-21,threshold,cluster_A/host_1,disk12,T
cluster_A_host_1,2022-07-21,threshold,cluster_A/host_1,disk2,T
cluster_A_host_1,2022-07-21,threshold,cluster_A/host_1,disk3,T
cluster_A_host_1,2022-07-21,threshold,cluster_A/host_1,disk4,T
cluster_A_host_1,2022-07-21,threshold,cluster_A/host_1,disk5,T
cluster_A_host_1,2022-07-21,threshold,cluster_A/host_1,disk6,T
cluster_A_host_1,2022-07-21,threshold,cluster_A/host_1,disk7,T
cluster_A_host_1,2022-07-21,threshold,cluster_A/host_1,disk8,T
