"ts","disk_id","throughput","latency"
1659099615,"disk1",19464283.02,111.93
1659099630,"disk1",17786765.29,97.31
1659099645,"disk1",13173383.37,87.73
1659099660,"disk1",12285190.23,83.36
1659099675,"disk1",14262623.8,95.51
1659099690,"disk1",13626887.8,87.34
1659099705,"disk1",18372127.54,106.39
1659099720,"disk1",15508075.62,93.62
1659099735,"disk1",10872178.86,78.89
1659099750,"disk1",12564045.01,76.28
1659099765,"disk1",17208608.05,91.82
1659099780,"disk1",13577238.46,88.9
1659099795,"disk1",13770454.98,93.27
1659099810,"disk1",18488531.24,108.29
1659099825,"disk1",10213092.98,76.1
1659099840,"disk1",14901457.36,91.52
1659099855,"disk1",10529548.02,86.82
1659099870,"disk1",10119480.59,80.26
1659099885,"disk1",11965892.79,85.92
1659099900,"disk1",10296385.82,82.38
1659099915,"disk1",7322267.73,68.18
1659099930,"disk1",13937450.36,90.76
1659099945,"disk1",5645059.1,60.48
1659099960,"disk1",12461888.04,77.49
1659099975,"disk1",15744527.88,93.42
1659099990,"disk1",14807010.32,89.75
1659100005,"disk1",12796789.11,85.01
1659100020,"disk1",12769643.17,79.86
1659100035,"disk1",18459041.52,95.37
1659100050,"disk1",10593374.95,74.07
1659100065,"disk1",15170016.11,91.28
1659100080,"disk1",13888030.15,88.46
1659100095,"disk1",14299731.07,96.73
1659100110,"disk1",14004676.42,100.56
1659100125,"disk1",13109907.93,113.99
1659100140,"disk1",11492533.58,89.52
1659100155,"disk1",21696170.4,122.64
1659100170,"disk1",16263301.25,116.61
1659100185,"disk1",17114456.7,142.52
1659100200,"disk1",13146260.01,105.77
1659100215,"disk1",16132258.78,116.75
1659100230,"disk1",13283968.77,100.65
1659100245,"disk1",12822791.92,98.61
1659100260,"disk1",13198433.14,103.15
1659100275,"disk1",10462419.92,92.34
1659100290,"disk1",7759588.74,71.76
1659100305,"disk1",10522515.14,84.78
1659100320,"disk1",21031189.36,108.09
1659100335,"disk1",15510558.17,102.17
1659100350,"disk1",13129680.58,94.04
1659100365,"disk1",10573510.64,87.06
1659100380,"disk1",10741732.73,76.97
1659100395,"disk1",16549082.75,93.8
1659100410,"disk1",17086952.56,98.42
1659100425,"disk1",9877687.79,80.6
1659100440,"disk1",14472149.41,88.7
1659100455,"disk1",19072500.78,104.09
1659100470,"disk1",15291553.78,87.88
1659100485,"disk1",12631303.36,84.5
1659100500,"disk1",14759339.67,99.2
1659100515,"disk1",14420485.96,93.17
1659100530,"disk1",14194397.78,86.44
1659100545,"disk1",12692348.29,85.79
1659100560,"disk1",14334702.73,92.72
1659100575,"disk1",15189225.62,89.12
1659100590,"disk1",17719799.29,98.31
1659100605,"disk1",10481126.97,74.74
1659100620,"disk1",11654692.53,76.61
1659100635,"disk1",13418784.37,80.35
1659100650,"disk1",12618011.02,72.77
1659100665,"disk1",12463009.47,75.99
1659100680,"disk1",12849104.71,75.29
1659100695,"disk1",14061952.96,90.46
1659100710,"disk1",13144161.3,74.79
1659100725,"disk1",17134637.66,77.17
1659100740,"disk1",20684294.03,86.61
1659100755,"disk1",18773255.21,86.49
1659100770,"disk1",13003684.34,74.99
1659100785,"disk1",12065306.82,72.89
1659100800,"disk1",10921117.54,67.66
1659100815,"disk1",15717635.64,80.93
1659100830,"disk1",24556289.09,100.2
1659100845,"disk1",15543682.22,82.1
1659100860,"disk1",15825664.62,76.17
1659100875,"disk1",14159797.16,75.06
1659100890,"disk1",19708852.14,81.21
1659100905,"disk1",13812738.17,72.96
1659100920,"disk1",18261889.36,79.43
1659100935,"disk1",13674726.29,70.91
1659100950,"disk1",21440285.95,88.59
1659100965,"disk1",15449951.99,85.7
1659100980,"disk1",12837791.23,84.02
1659100995,"disk1",19349337.95,106.34
1659101010,"disk1",18572703.09,91.2
1659101025,"disk1",15002141.24,81.39
1659101040,"disk1",11202171.73,70.14
1659101055,"disk1",10069405.38,68.06
1659101070,"disk1",15879269.38,86.4
1659101085,"disk1",16302501.34,85.32
1659101100,"disk1",15668840.06,84.82
1659101115,"disk1",13588920.4,84.89
1659101130,"disk1",7287199.94,68.82
1659101145,"disk1",14871168.09,91.77
1659101160,"disk1",16179611.79,88.91
1659101175,"disk1",15357106.36,98.51
1659101190,"disk1",14614094.49,101.59
1659101205,"disk1",10566439.71,108.7
1659101220,"disk1",10650802.55,86.85
1659101235,"disk1",11561561.08,84.82
1659101250,"disk1",6315825.73,61.49
1659101265,"disk1",21569225.18,107.26
1659101280,"disk1",15741774.72,96.04
1659101295,"disk1",11587081.17,78.62
1659101310,"disk1",13991560.05,82.3
1659101325,"disk1",12443674.11,77.24
1659101340,"disk1",11637096.58,73
1659101355,"disk1",11973744.14,80.16
1659101370,"disk1",12900166.45,75.87
1659101385,"disk1",17753646.74,89.42
1659101400,"disk1",18623263.13,95.69
1659101415,"disk1",20952188.83,102.13
1659101430,"disk1",13158976.19,83.41
1659101445,"disk1",15890612.93,84.71
1659101460,"disk1",13158597.31,74.76
1659101475,"disk1",19440541.33,94.52
1659101490,"disk1",13417118.96,83.48
1659101505,"disk1",14987492.56,95.33
1659101520,"disk1",10460378.01,76.84
1659101535,"disk1",12729841.58,83.11
1659101550,"disk1",5652528.75,59.09
1659101565,"disk1",12309445.49,82.71
1659101580,"disk1",11309697.7,71.48
1659101595,"disk1",13003470.24,74.25
1659101610,"disk1",13009708.92,75.33
1659101625,"disk1",19187592.43,91.54
1659101640,"disk1",20561065.46,97.09
1659101655,"disk1",12822943.69,77.98
1659101670,"disk1",14157725.2,80.51
1659101685,"disk1",12377612.41,78.56
1659101700,"disk1",13340746.44,81.17
1659101715,"disk1",16616352.38,88.59
1659101730,"disk1",17606211.07,94.29
1659101745,"disk1",15416210.65,87.85
1659101760,"disk1",12074579.68,76.01
1659101775,"disk1",17967344.99,90.7
1659101790,"disk1",16393999.28,90.13
1659101805,"disk1",18858390.27,89.11
1659101820,"disk1",17059680.49,75.5
1659101835,"disk1",14547543.14,73.15
1659101850,"disk1",16235557.07,74.49
1659101865,"disk1",14084728.65,76.42
1659101880,"disk1",17694026.07,92.13
1659101895,"disk1",16949151.72,93.14
1659101910,"disk1",16127171.82,92.71
1659101925,"disk1",11028800.33,78.64
1659101940,"disk1",14158190.23,82.88
1659101955,"disk1",12627028.74,79
1659101970,"disk1",14425161.37,85.16
1659101985,"disk1",18378198.72,90.9
1659102000,"disk1",12304030.92,74.62
1659102015,"disk1",17547980.56,87.3
1659102030,"disk1",17009135.02,80.4
1659102045,"disk1",10712582.43,62.91
1659102060,"disk1",14696682.27,71.22
1659102075,"disk1",10824794.29,61.33
1659102090,"disk1",11782133.01,62.44
1659102105,"disk1",17813340.8,75.85
1659102120,"disk1",16713915.15,73.13
1659102135,"disk1",11143292.76,62.7
1659102150,"disk1",9589259.35,62.65
1659102165,"disk1",11824451.53,67.41
1659102180,"disk1",15101777.37,76.02
1659102195,"disk1",17658387.41,84.36
1659102210,"disk1",8643567.39,61.4
1659102225,"disk1",8910965.38,61.63
1659102240,"disk1",15651918.14,77.56
1659102255,"disk1",19006402.86,88.17
1659102270,"disk1",11007529.49,70.25
1659102285,"disk1",10189161.19,69
1659102300,"disk1",14798597.59,77.79
1659102315,"disk1",17127222.99,81.74
1659102330,"disk1",19803559.36,88.65
1659102345,"disk1",21217653.15,88.3
1659102360,"disk1",19152648.68,91.23
1659102375,"disk1",13835917.15,83.57
1659102390,"disk1",11402997.52,74.87
1659102405,"disk1",10863849.8,72.03
1659102420,"disk1",14439332.81,76.95
1659102435,"disk1",22511163.7,99.85
1659102450,"disk1",9717751.97,67.27
1659102465,"disk1",17229871.66,84.22
1659102480,"disk1",9627207.21,71.31
1659102495,"disk1",13974046.23,87.67
1659102510,"disk1",10779403.19,84.44
1659102525,"disk1",5827683.75,62.99
1659102540,"disk1",9979111.73,72.93
1659102555,"disk1",18176130.68,96.63
1659102570,"disk1",15056714.26,92.82
1659102585,"disk1",10969504.38,85.51
1659102600,"disk1",11255150.64,81.24
1659102615,"disk1",9887824.73,79.44
1659102630,"disk1",12445272.31,92.42
1659102645,"disk1",11758197.26,92.33
1659102660,"disk1",15622332.82,94.85
1659102675,"disk1",9888461.21,72.45
1659102690,"disk1",15870338.57,86.32
1659102705,"disk1",20168112.62,98.32
1659102720,"disk1",15869372.7,85.09
1659102735,"disk1",14617180.09,82.13
1659102750,"disk1",15812310.83,83.42
1659102765,"disk1",16412555.5,84.14
1659102780,"disk1",17390911.27,92.27
1659102795,"disk1",17222568.99,96.74
1659102810,"disk1",11316465.08,77.04
1659102825,"disk1",14622977.2,83.33
1659102840,"disk1",11258823.77,73.74
1659102855,"disk1",9458965.95,72.62
1659102870,"disk1",18399564.11,97.68
1659102885,"disk1",21610885.39,110.92
1659102900,"disk1",18885718.89,99.29
1659102915,"disk1",27928688.55,110.45
1659102930,"disk1",20189499.01,84.78
1659102945,"disk1",19094148.05,84.44
1659102960,"disk1",18720954.62,95.42
1659102975,"disk1",17566337.26,87.44
1659102990,"disk1",19882937.29,91.33
1659103005,"disk1",12331166.01,72.9
1659103020,"disk1",16415580.45,85.81
1659103035,"disk1",17080767.99,86.24
1659103050,"disk1",19046474.16,86.27
1659103065,"disk1",13511046.89,68.84
1659103080,"disk1",13836580.6,73.92
1659103095,"disk1",13774765.15,73.97
1659103110,"disk1",21414716.49,84.28
1659103125,"disk1",25266641.21,93.95
1659103140,"disk1",16395185.59,83.73
1659103155,"disk1",10600109.64,70.31
1659103170,"disk1",17276371.89,89.72
1659103185,"disk1",14985775.12,86.45
1659103200,"disk1",13597523.88,76.57
1659103215,"disk1",18047786.58,80.36
1659103230,"disk1",16756870.15,74.64
1659103245,"disk1",9487907.58,62.14
1659103260,"disk1",14411698.93,78.2
1659103275,"disk1",18948236.35,87.19
1659103290,"disk1",10175782.11,66.7
1659103305,"disk1",16656136.4,84.61
1659103320,"disk1",21084422.72,92.45
1659103335,"disk1",11829112.54,72.05
1659103350,"disk1",23358289.6,95.94
1659103365,"disk1",5985393.49,55.32
1659103380,"disk1",11161114.63,67.36
1659103395,"disk1",11390359.84,71.48
1659103410,"disk1",17902627.59,81.2
1659103425,"disk1",15570011.9,75.95
1659103440,"disk1",10454862.79,64.17
1659103455,"disk1",10733069.62,67.02
1659103470,"disk1",8508746.45,59.83
1659103485,"disk1",9350251.53,62.98
1659103500,"disk1",7298136.49,53.89
1659103515,"disk1",13862207.33,66.59
1659103530,"disk1",13507221.71,64.4
1659103545,"disk1",12008800.23,62.82
1659103560,"disk1",18925688.53,76.66
1659103575,"disk1",10369889.55,61.73
1659103590,"disk1",16849521.58,73.96
1659103605,"disk1",19876132.01,77.4
1659103620,"disk1",16289656.64,68.44
1659103635,"disk1",15598139.55,69.9
1659103650,"disk1",11673972.9,66.61
1659103665,"disk1",12884471.17,66.42
1659103680,"disk1",15787690.79,70.81
1659103695,"disk1",14182463.57,71.11
1659103710,"disk1",20358505.19,83.89
1659103725,"disk1",15937097.72,75.74
1659103740,"disk1",11006009.29,63.31
1659103755,"disk1",15175169.25,74.34
1659103770,"disk1",11767750.08,59.33
