"ts","disk_id","throughput","latency"
1638190800,"disk1",58201666.23,19.2
1638190815,"disk1",56071493.38,18.21
1638190830,"disk1",60780143.62,19.98
1638190845,"disk1",73829892.58,24.24
1638190860,"disk1",64415507.52,21.6
1638190875,"disk1",48410613.17,18.68
1638190890,"disk1",58075464.35,18.53
1638190905,"disk1",55344734.38,19.33
1638190920,"disk1",56023334.8,18.84
1638190935,"disk1",55489033.2,19.01
1638190950,"disk1",65344045.26,21.32
1638190965,"disk1",60160634.79,19.09
1638190980,"disk1",55816080.05,17.53
1638190995,"disk1",56039135.69,19.08
1638191010,"disk1",53229358.58,18.2
1638191025,"disk1",56076390.91,18.8
1638191040,"disk1",64021446.74,21.69
1638191055,"disk1",60006573.91,20.05
1638191070,"disk1",61772566.9,20.1
1638191085,"disk1",64347851.49,19.31
1638191100,"disk1",54059928.91,18.4
1638191115,"disk1",60311236.06,19.24
1638191130,"disk1",53346732.99,17.69
1638191145,"disk1",67135859.23,19.62
1638191160,"disk1",65649011.38,25.63
1638191175,"disk1",54777694.69,18.56
1638191190,"disk1",56229852.51,17.28
1638191205,"disk1",59503554.98,18.98
1638191220,"disk1",61213835.88,19.47
1638191235,"disk1",59403927.91,18.82
1638191250,"disk1",63623622.93,19.44
1638191265,"disk1",60653084.68,18.32
1638191280,"disk1",64582667.5,19.55
1638191295,"disk1",61010553.52,20.37
1638191310,"disk1",71646055.68,21.29
1638191325,"disk1",64807185.91,20.09
1638191340,"disk1",63367207.68,19.16
1638191355,"disk1",66850616.41,19.64
1638191370,"disk1",61925157.59,19.1
1638191385,"disk1",60315454.4,19.07
1638191400,"disk1",57367089.95,19.33
1638191415,"disk1",56683361.1,20.34
1638191430,"disk1",55820448.27,19.84
1638191445,"disk1",57746712.43,18.67
1638191460,"disk1",70499818.32,21.18
1638191475,"disk1",67483296.07,22.88
1638191490,"disk1",60961187.25,20.27
1638191505,"disk1",63059813.21,21.4
1638191520,"disk1",61020911.22,19.91
1638191535,"disk1",59264514.63,21.21
1638191550,"disk1",56438340,19.93
1638191565,"disk1",55771303.3,18.57
1638191580,"disk1",60080397.13,18.1
1638191595,"disk1",64305436.58,19.58
1638191610,"disk1",56248255.17,19.39
1638191625,"disk1",54652483.36,20.22
1638191640,"disk1",55378094.81,19.55
1638191655,"disk1",58217662.74,20.87
1638191670,"disk1",55402567.35,18.76
1638191685,"disk1",51929057.54,18.98
1638191700,"disk1",58021605.77,20.61
1638191715,"disk1",54476472.79,17.75
1638191730,"disk1",64159322.84,19.21
1638191745,"disk1",63446740.42,19.27
1638191760,"disk1",66667885.95,22.12
1638191775,"disk1",63020543.01,20.05
1638191790,"disk1",57331496.84,19.11
1638191805,"disk1",52777344.69,18.41
1638191820,"disk1",58968963.05,20.19
1638191835,"disk1",57187024.31,20.62
1638191850,"disk1",53658123.73,18.49
1638191865,"disk1",54932486.53,19.28
1638191880,"disk1",52535345.4,19.38
1638191895,"disk1",49436998.77,19.56
1638191910,"disk1",54355741.85,19.62
1638191925,"disk1",67458579.11,20.33
1638191940,"disk1",68360887.33,19.99
1638191955,"disk1",60349997.4,19.2
1638191970,"disk1",61195077.44,18.87
1638191985,"disk1",60858544.32,19.06
1638192000,"disk1",57686764.16,19.78
1638192015,"disk1",61316767.34,22.03
1638192030,"disk1",50982448.03,18.3
1638192045,"disk1",50461674.93,17.73
1638192060,"disk1",54791042.21,18.02
1638192075,"disk1",62996004.26,20.32
1638192090,"disk1",53397468.48,18.41
1638192105,"disk1",56225517.29,18.56
1638192120,"disk1",53286244.15,18.17
1638192135,"disk1",58619098.39,19.01
1638192150,"disk1",56588499.69,17.7
1638192165,"disk1",57285831.72,18.86
1638192180,"disk1",53052794.28,18.03
1638192195,"disk1",52456490.8,18.74
1638192210,"disk1",57992433.21,20.87
1638192225,"disk1",57937969.61,18.81
1638192240,"disk1",60134620.38,18.6
1638192255,"disk1",54892206.84,18.13
1638192270,"disk1",58283799.26,21.16
1638192285,"disk1",55599512.88,17.73
1638192300,"disk1",54191984.01,17.94
1638192315,"disk1",57206511.84,20.33
1638192330,"disk1",70039854.58,20.05
1638192345,"disk1",68043727.19,20.68
1638192360,"disk1",62274516.93,19.17
1638192375,"disk1",57352094.07,18.41
1638192390,"disk1",52489635.89,18.18
1638192405,"disk1",58608729.03,20.14
1638192420,"disk1",49841686.03,19.22
1638192435,"disk1",67291380.44,20.36
1638192450,"disk1",64373137,19.87
1638192465,"disk1",58910012.58,18.2
1638192480,"disk1",65393357.3,20.02
1638192495,"disk1",65139961.34,19.59
1638192510,"disk1",66273777.97,21.57
1638192525,"disk1",59929219.05,18.64
1638192540,"disk1",59351770.99,18.72
1638192555,"disk1",52779445.83,19.6
1638192570,"disk1",61553594.52,18.5
1638192585,"disk1",54494704.76,17.64
1638192600,"disk1",59261063.57,19.11
1638192615,"disk1",60757949.95,20.1
1638192630,"disk1",64481997.81,19.13
1638192645,"disk1",56785831.62,17.41
1638192660,"disk1",54591297.76,19.2
1638192675,"disk1",60736869.43,17.94
1638192690,"disk1",66683105.03,19.32
1638192705,"disk1",66237267.67,20.44
1638192720,"disk1",60783563.34,18.5
1638192735,"disk1",69105878.74,20.59
1638192750,"disk1",60444870.68,18.9
1638192765,"disk1",57565383.26,17.1
1638192780,"disk1",53995918.12,17.65
1638192795,"disk1",53527123.78,18.26
1638192810,"disk1",60384807.75,18.09
1638192825,"disk1",60515400.93,18.42
1638192840,"disk1",53687245.12,18.57
1638192855,"disk1",59263896.49,17.43
1638192870,"disk1",64490508.99,19.11
1638192885,"disk1",65405407.23,19.86
1638192900,"disk1",65793818.19,20.96
1638192915,"disk1",58298477.28,18.57
1638192930,"disk1",54971648.87,17.41
1638192945,"disk1",58632731.59,19.06
1638192960,"disk1",60641088.35,18.94
1638192975,"disk1",59242885.29,19.91
1638192990,"disk1",51119474.43,18.95
1638193005,"disk1",53903122.88,19.18
1638193020,"disk1",56331665.49,18.91
1638193035,"disk1",56776616.16,18.14
1638193050,"disk1",54207033.93,17.96
1638193065,"disk1",61366471.24,19.01
1638193080,"disk1",58231848.47,18.2
1638193095,"disk1",56197426.46,18.85
1638193110,"disk1",59540261.76,18.24
1638193125,"disk1",63907208.64,18.55
1638193140,"disk1",71613653.68,20.34
1638193155,"disk1",63907730.81,21.2
1638193170,"disk1",61780920.27,20.48
1638193185,"disk1",67275952.66,19.83
1638193200,"disk1",71832570.73,20.34
1638193215,"disk1",61235974.13,19.18
1638193230,"disk1",69103699.03,19.43
1638193245,"disk1",69386806.66,20.07
1638193260,"disk1",58801457.14,19.9
1638193275,"disk1",58773437.47,19.28
1638193290,"disk1",70163818.22,19.57
1638193305,"disk1",74051413.81,19.95
1638193320,"disk1",66003286.13,19.67
1638193335,"disk1",56130333.43,18.03
1638193350,"disk1",57199099.7,17.96
1638193365,"disk1",60451661.6,19.55
1638193380,"disk1",56234338.97,17.88
1638193395,"disk1",62741462.74,18.55
1638193410,"disk1",63428042.87,17.9
1638193425,"disk1",62428185.93,17.8
1638193440,"disk1",66088316.99,18.55
1638193455,"disk1",66802287.31,19.3
1638193470,"disk1",68553277.91,18.81
1638193485,"disk1",58888170.76,16.72
1638193500,"disk1",56680326.6,17.92
1638193515,"disk1",71123771.5,19.31
1638193530,"disk1",61969126.74,18.29
1638193545,"disk1",62374717.78,17.92
1638193560,"disk1",58337541.98,17.78
1638193575,"disk1",54445133.75,18.09
1638193590,"disk1",61409842.42,18.2
1638193605,"disk1",48899786.6,17.95
1638193620,"disk1",46908031.6,16.81
1638193635,"disk1",51924991.38,17.95
1638193650,"disk1",48927030.93,17.94
1638193665,"disk1",54035765.59,19.3
1638193680,"disk1",50426244.61,17.82
1638193695,"disk1",50929609.64,17.49
1638193710,"disk1",43612836.02,16.84
1638193725,"disk1",56801688.7,17.5
1638193740,"disk1",58280619,18.04
1638193755,"disk1",62336870.32,17.98
1638193770,"disk1",58036089.93,17.12
1638193785,"disk1",53011471.62,16.88
1638193800,"disk1",43814945.69,15.77
1638193815,"disk1",45919154.95,16.46
1638193830,"disk1",49435468.46,18.06
1638193845,"disk1",45775867.17,18.17
1638193860,"disk1",51263989.13,17.83
1638193875,"disk1",47415179.81,17.44
1638193890,"disk1",45533056.61,17.51
1638193905,"disk1",47937034.31,20.28
1638193920,"disk1",64134711.05,21.09
1638193935,"disk1",57093154.88,17.77
1638193950,"disk1",49996396.98,18.01
1638193965,"disk1",42470625.61,17.26
1638193980,"disk1",51166005.93,17.11
1638193995,"disk1",60279611.33,19.41
1638194010,"disk1",58165426.72,19.05
1638194025,"disk1",53062293.76,18.72
1638194040,"disk1",59086304.03,19.55
1638194055,"disk1",63075770.93,23.37
1638194070,"disk1",54171002.27,19.87
1638194085,"disk1",53253713.71,18.89
1638194100,"disk1",50350841.66,18.58
1638194115,"disk1",51138263.57,18.4
1638194130,"disk1",56834273.56,18.72
1638194145,"disk1",48019429.17,17.74
1638194160,"disk1",41885895.19,17.74
1638194175,"disk1",51909024.17,19.17
1638194190,"disk1",49373439.07,17.68
1638194205,"disk1",54630452.3,18.96
1638194220,"disk1",48735254.51,17.69
1638194235,"disk1",54978761.75,17.85
1638194250,"disk1",47568236.61,16.92
1638194265,"disk1",56938324.95,17.65
1638194280,"disk1",66354135.98,19.28
1638194295,"disk1",54488284.51,18.14
1638194310,"disk1",55004893.87,18.08
1638194325,"disk1",56214096.83,18.36
1638194340,"disk1",48114429.92,17.92
1638194355,"disk1",57463999.77,18.35
1638194370,"disk1",57274795.15,19.04
1638194385,"disk1",64130587.07,20.81
1638194400,"disk1",57576837.39,19.13
1638194415,"disk1",56522855.62,18.62
1638194430,"disk1",46325331.69,17.97
1638194445,"disk1",55321350.19,18.85
1638194460,"disk1",58839385.88,18.75
1638194475,"disk1",60597624.62,19.36
1638194490,"disk1",52083075.75,18.37
1638194505,"disk1",48457965.07,17.78
1638194520,"disk1",54831925.49,19.29
1638194535,"disk1",51016149.05,17.72
1638194550,"disk1",54249611.54,18.25
1638194565,"disk1",49484024.62,17.5
1638194580,"disk1",50639568.26,17.79
1638194595,"disk1",53138138.64,18.73
1638194610,"disk1",55931225.16,18.19
1638194625,"disk1",71038023.33,19.84
1638194640,"disk1",53535663.13,17.62
1638194655,"disk1",61595979.71,18.78
1638194670,"disk1",56179527.27,19.98
1638194685,"disk1",59255688.07,19.95
1638194700,"disk1",48083479.7,17.19
1638194715,"disk1",50607509.18,16.73
1638194730,"disk1",57316951.22,20.28
1638194745,"disk1",57000095.74,18.1
1638194760,"disk1",53134826.94,18.23
1638194775,"disk1",63320872.26,19.13
1638194790,"disk1",65412760.04,20.01
1638194805,"disk1",58131757.88,19.39
1638194820,"disk1",59621386.3,18.42
1638194835,"disk1",55940546.84,18.86
1638194850,"disk1",54115062.77,17.55
1638194865,"disk1",55949312.93,18.9
1638194880,"disk1",50786139.53,18.33
1638194895,"disk1",54068350.15,18.49
1638194910,"disk1",47397003.93,17.34
1638194925,"disk1",53399824.56,16.88
1638194940,"disk1",52226779.35,18.48
1638194955,"disk1",57649728.55,18.89
1638194970,"disk1",61609365.74,19.65
1638194985,"disk1",63050915.52,19.08
1638195000,"disk1",56277166.03,19.11
1638195015,"disk1",66943761.22,20.21
1638195030,"disk1",57922544.71,19.2
1638195045,"disk1",58815328.18,19.64
1638195060,"disk1",53753084.01,18.33
1638195075,"disk1",54906247.3,18.13
1638195090,"disk1",57978017.02,17.87
1638195105,"disk1",60387638.38,18.07
1638195120,"disk1",54817978.47,18.14
1638195135,"disk1",53557315.4,16.89
1638195150,"disk1",54597146.21,18.31
1638195165,"disk1",58733344.61,18.48
1638195180,"disk1",61528444.34,20.14
1638195195,"disk1",64556038.21,20.48
1638195210,"disk1",61910993.76,19.71
1638195225,"disk1",60494438.11,19.17
1638195240,"disk1",63783278.48,19.01
1638195255,"disk1",51746695.29,16.41
1638195270,"disk1",52628966.88,16.43
1638195285,"disk1",58635880.23,18.16
1638195300,"disk1",63955314.58,18.38
1638195315,"disk1",59464242.62,19.05
1638195330,"disk1",53241733.71,17.12
1638195345,"disk1",58703715.31,17.97
1638195360,"disk1",63675236.48,18.04
1638195375,"disk1",57914743.32,19.81
