"ts","disk_id","throughput","latency"
1660395615,"disk1",31910310.6,371.83
1660395630,"disk1",31075323.09,261.37
1660395645,"disk1",35954802.28,650.36
1660395660,"disk1",43073115.26,578.02
1660395675,"disk1",34070466.07,395.68
1660395690,"disk1",41417736.4,745.44
1660395705,"disk1",31555529.55,531.22
1660395720,"disk1",38267091.72,741.11
1660395735,"disk1",24555131.72,340.97
1660395750,"disk1",26944980.62,430.49
1660395765,"disk1",26299441.32,286.7
1660395780,"disk1",25731695.34,377.68
1660395795,"disk1",23583071.44,244.91
1660395810,"disk1",24337231.92,229.89
1660395825,"disk1",29732125.26,566.84
1660395840,"disk1",19728945.07,192.01
1660395855,"disk1",24766402.13,341.81
1660395870,"disk1",17287456.44,257.01
1660395885,"disk1",34330617.09,607.24
1660395900,"disk1",23217611.8,329.23
1660395915,"disk1",21123133.94,376.36
1660395930,"disk1",16227865.98,184.11
1660395945,"disk1",15676278.59,219.36
1660395960,"disk1",15720149.77,243.46
1660395975,"disk1",19403754.82,267.07
1660395990,"disk1",19152673.45,227.33
1660396005,"disk1",23763853.24,323.64
1660396020,"disk1",24920247.08,469.88
1660396035,"disk1",25713600.03,401.23
1660396050,"disk1",25356648.29,377.89
1660396065,"disk1",34977587.06,470.97
1660396080,"disk1",42531413.97,1203.45
1660396095,"disk1",30082736.57,424.05
1660396110,"disk1",21974363.84,204.24
1660396125,"disk1",23733308.19,258
1660396140,"disk1",20075172.7,237.5
1660396155,"disk1",24207084.4,364.1
1660396170,"disk1",22518406.61,392.63
1660396185,"disk1",26338393.3,560.86
1660396200,"disk1",23244559.93,694.27
1660396215,"disk1",26787355.76,289.35
1660396230,"disk1",27824749.55,376.94
1660396245,"disk1",24115909.44,251.44
1660396260,"disk1",29240036.28,256.2
1660396275,"disk1",34154197.37,566.56
1660396290,"disk1",37970374.43,589.14
1660396305,"disk1",27415775.78,375.38
1660396320,"disk1",18133143.69,233.79
1660396335,"disk1",27637122.36,323.76
1660396350,"disk1",30498726.28,375.27
1660396365,"disk1",39480790.95,456.82
1660396380,"disk1",27216798.78,296.5
1660396395,"disk1",31150575.89,349.25
1660396410,"disk1",28104345.49,425.08
1660396425,"disk1",21152440.96,221.29
1660396440,"disk1",25534027.95,331.3
1660396455,"disk1",32757816.93,484.94
1660396470,"disk1",24523491.47,521.16
1660396485,"disk1",21202802.38,550.13
1660396500,"disk1",16392999.21,284.04
1660396515,"disk1",11832819.82,150.27
1660396530,"disk1",9816000.7,235.88
1660396545,"disk1",7780699.43,261.75
1660396560,"disk1",8065606.91,143.18
1660396575,"disk1",6348268.36,144.85
1660396590,"disk1",9153969.42,144.65
1660396605,"disk1",11194934.39,100.16
1660396620,"disk1",10294885.31,374.19
1660396635,"disk1",5267887.73,303.41
1660396650,"disk1",12453616.77,203.51
1660396665,"disk1",8372557.25,71.24
1660396680,"disk1",12034140.52,179.63
1660396695,"disk1",6642385.88,195.03
1660396710,"disk1",20009033.53,288.87
1660396725,"disk1",23337653.92,279.57
1660396740,"disk1",9135288.96,569
1660396755,"disk1",21782554.85,764.08
1660396770,"disk1",17192888.05,129.13
1660396785,"disk1",11843147.01,372.35
1660396800,"disk1",18803005.56,264.49
1660396815,"disk1",43218172.66,116.17
1660396830,"disk1",25366487.84,264.27
1660396845,"disk1",30962727.63,263.18
1660396860,"disk1",26641444.57,1104.61
1660396875,"disk1",42828135.4,374.82
1660396890,"disk1",34765371.84,418.86
1660396905,"disk1",27233890.47,455.16
1660396920,"disk1",14692657.34,973.39
1660396935,"disk1",19564752.32,510.56
1660396950,"disk1",18014888.3,481.57
1660396965,"disk1",15135490.72,197.32
1660396980,"disk1",25321681.31,210.71
1660396995,"disk1",21787316.61,229.68
1660397010,"disk1",31999257.45,387.96
1660397025,"disk1",21335146.17,808.01
1660397040,"disk1",31117318.46,291.07
1660397055,"disk1",38006706.92,428.95
1660397070,"disk1",23969368.16,277.17
1660397085,"disk1",21289312.92,542.44
1660397100,"disk1",18841867.32,807.37
1660397115,"disk1",20094520.46,430.5
1660397130,"disk1",21089637.03,335.4
1660397145,"disk1",13528429.21,415.68
1660397160,"disk1",26515286.36,248.4
1660397175,"disk1",22128874.47,275.25
1660397190,"disk1",31310491.39,117.04
1660397205,"disk1",32244045.44,323.94
1660397220,"disk1",31444690.55,251.51
1660397235,"disk1",31801052.61,473.68
