cluster,host_name,workload,disk_id,
cluster_A,host_22,e-commerce,disk11,
cluster_A,host_25,e-commerce,disk8,
cluster_B,host_5,block,disk5,
cluster_C,host_2,block,disk1,
cluster_C,host_2,block,disk2,
cluster_C,host_21,block,disk1,
cluster_C,host_21,block,disk2,
cluster_C,host_24,block,disk1,
cluster_C,host_24,block,disk2,
cluster_C,host_26,block,disk1,
cluster_C,host_26,block,disk2,
cluster_C,host_27,block,disk1,
cluster_C,host_27,block,disk2,
cluster_C,host_31,block,disk1,
cluster_C,host_31,block,disk2,
cluster_C,host_40,block,disk1,
cluster_C,host_40,block,disk2,
cluster_C,host_42,block,disk1,
cluster_C,host_42,block,disk2,
cluster_C,host_47,block,disk1,
cluster_C,host_47,block,disk2,
cluster_C,host_48,block,disk1,
cluster_C,host_48,block,disk2,
cluster_C,host_53,block,disk1,
cluster_C,host_53,block,disk2,
cluster_C,host_57,block,disk1,
cluster_C,host_57,block,disk2,
cluster_C,host_61,block,disk1,
cluster_C,host_61,block,disk2,
cluster_C,host_65,block,disk1,
cluster_C,host_65,block,disk2,
cluster_C,host_81,block,disk1,
cluster_C,host_81,block,disk2,
cluster_C,host_83,block,disk1,
cluster_C,host_83,block,disk2,
cluster_D,host_50,table,disk8,
cluster_E,host_47,stream,disk11,
cluster_F,host_1,block,disk1,
cluster_F,host_1,block,disk2,
cluster_F,host_10,block,disk1,
cluster_F,host_10,block,disk2,
cluster_F,host_11,block,disk1,
cluster_F,host_11,block,disk2,
cluster_F,host_12,block,disk1,
cluster_F,host_12,block,disk2,
cluster_F,host_13,block,disk1,
cluster_F,host_13,block,disk2,
cluster_F,host_14,block,disk1,
cluster_F,host_14,block,disk2,
cluster_F,host_15,block,disk1,
cluster_F,host_15,block,disk2,
cluster_F,host_16,block,disk1,
cluster_F,host_16,block,disk2,
cluster_F,host_17,block,disk1,
cluster_F,host_17,block,disk2,
cluster_F,host_18,block,disk1,
cluster_F,host_18,block,disk2,
cluster_F,host_19,block,disk1,
cluster_F,host_19,block,disk2,
cluster_F,host_2,block,disk1,
cluster_F,host_2,block,disk2,
cluster_F,host_20,block,disk1,
cluster_F,host_20,block,disk2,
cluster_F,host_21,block,disk1,
cluster_F,host_21,block,disk2,
cluster_F,host_22,block,disk1,
cluster_F,host_22,block,disk2,
cluster_F,host_23,block,disk1,
cluster_F,host_23,block,disk2,
cluster_F,host_24,block,disk1,
cluster_F,host_24,block,disk2,
cluster_F,host_25,block,disk1,
cluster_F,host_25,block,disk2,
cluster_F,host_26,block,disk1,
cluster_F,host_26,block,disk2,
cluster_F,host_27,block,disk1,
cluster_F,host_27,block,disk2,
cluster_F,host_28,block,disk1,
cluster_F,host_28,block,disk2,
cluster_F,host_29,block,disk1,
cluster_F,host_29,block,disk2,
cluster_F,host_3,block,disk1,
cluster_F,host_3,block,disk2,
cluster_F,host_30,block,disk1,
cluster_F,host_30,block,disk2,
cluster_F,host_31,block,disk1,
cluster_F,host_31,block,disk2,
cluster_F,host_32,block,disk1,
cluster_F,host_32,block,disk2,
cluster_F,host_33,block,disk1,
cluster_F,host_33,block,disk2,
cluster_F,host_34,block,disk1,
cluster_F,host_34,block,disk2,
cluster_F,host_35,block,disk1,
cluster_F,host_35,block,disk2,
cluster_F,host_36,block,disk1,
cluster_F,host_36,block,disk2,
cluster_F,host_37,block,disk1,
cluster_F,host_37,block,disk2,
cluster_F,host_38,block,disk1,
cluster_F,host_38,block,disk2,
cluster_F,host_39,block,disk1,
cluster_F,host_39,block,disk2,
cluster_F,host_4,block,disk1,
cluster_F,host_4,block,disk2,
cluster_F,host_40,block,disk1,
cluster_F,host_40,block,disk2,
cluster_F,host_41,block,disk1,
cluster_F,host_41,block,disk2,
cluster_F,host_42,block,disk1,
cluster_F,host_42,block,disk2,
cluster_F,host_43,block,disk1,
cluster_F,host_43,block,disk2,
cluster_F,host_44,block,disk1,
cluster_F,host_44,block,disk2,
cluster_F,host_45,block,disk1,
cluster_F,host_45,block,disk2,
cluster_F,host_46,block,disk1,
cluster_F,host_46,block,disk2,
cluster_F,host_47,block,disk1,
cluster_F,host_47,block,disk2,
cluster_F,host_48,block,disk1,
cluster_F,host_48,block,disk2,
cluster_F,host_49,block,disk1,
cluster_F,host_49,block,disk2,
cluster_F,host_5,block,disk1,
cluster_F,host_5,block,disk2,
cluster_F,host_50,block,disk1,
cluster_F,host_50,block,disk2,
cluster_F,host_51,block,disk1,
cluster_F,host_51,block,disk2,
cluster_F,host_52,block,disk1,
cluster_F,host_52,block,disk2,
cluster_F,host_53,block,disk1,
cluster_F,host_53,block,disk2,
cluster_F,host_54,block,disk1,
cluster_F,host_54,block,disk2,
cluster_F,host_55,block,disk1,
cluster_F,host_55,block,disk2,
cluster_F,host_56,block,disk1,
cluster_F,host_56,block,disk2,
cluster_F,host_57,block,disk1,
cluster_F,host_57,block,disk2,
cluster_F,host_58,block,disk1,
cluster_F,host_58,block,disk2,
cluster_F,host_59,block,disk1,
cluster_F,host_59,block,disk2,
cluster_F,host_60,block,disk1,
cluster_F,host_60,block,disk2,
cluster_F,host_61,block,disk1,
cluster_F,host_61,block,disk2,
cluster_F,host_62,block,disk1,
cluster_F,host_62,block,disk2,
cluster_F,host_63,block,disk1,
cluster_F,host_63,block,disk2,
cluster_F,host_64,block,disk1,
cluster_F,host_64,block,disk2,
cluster_F,host_65,block,disk1,
cluster_F,host_65,block,disk2,
cluster_F,host_66,block,disk1,
cluster_F,host_66,block,disk2,
cluster_F,host_67,block,disk1,
